ああ言う　　　　　　　　　　　　　　　　ああいう　　　　　　　　　　　　　　　　,R  .     ,
踏み越す　　　　　　　　　　　　　　　　ふみこす　　　　　　　　　　　　　　　　,D S.   I ,
踏み応える　　　　　　　　　　　　　　　ふみこたえる　　　　　　　　　　　　　　,D 1.   I ,
踏み込む　　　　　　　　　　　　　　　　ふみこむ　　　　　　　　　　　　　　　　,D M.     ,
踏み殺す　　　　　　　　　　　　　　　　ふみころす　　　　　　　　　　　　　　　,D S.  N  ,
踏みしだく　　　　　　　　　　　　　　　ふみしだく　　　　　　　　　　　　　　　,D K.  N  ,
踏み締める　　　　　　　　　　　　　　　ふみしめる　　　　　　　　　　　　　　　,D 1.   I ,
踏み滑らす　　　　　　　　　　　　　　　ふみすべらす　　　　　　　　　　　　　　,D S.   M ,
踏み台にする　　　　　　　　　　　　　　ふみだいにする　　　　　　　　　　　　　,D 4.  P  ,
踏み倒す　　　　　　　　　　　　　　　　ふみたおす　　　　　　　　　　　　　　　,D S.  NI ,
踏み出す　　　　　　　　　　　　　　　　ふみだす　　　　　　　　　　　　　　　　,D S.     ,
踏み散らす　　　　　　　　　　　　　　　ふみちらす　　　　　　　　　　　　　　　,D S.  NI ,
踏み付けにする　　　　　　　　　　　　　ふみつけにする　　　　　　　　　　　　　,D 5.  N  ,
踏み付ける　　　　　　　　　　　　　　　ふみつける　　　　　　　　　　　　　　　,D 1.  N  ,
踏みつぶす　　　　　　　　　　　　　　　ふみつぶす　　　　　　　　　　　　　　　,D S.  NI ,
踏みとどまる　　　　　　　　　　　　　　ふみとどまる　　　　　　　　　　　　　　,D R.   I ,
踏み鳴らす　　　　　　　　　　　　　　　ふみならす　　　　　　　　　　　　　　　,D S.   I ,
踏みにじる　　　　　　　　　　　　　　　ふみにじる　　　　　　　　　　　　　　　,D R.  NI ,
踏み抜く　　　　　　　　　　　　　　　　ふみぬく　　　　　　　　　　　　　　　　,D K.     ,
踏み外す　　　　　　　　　　　　　　　　ふみはずす　　　　　　　　　　　　　　　,D S.  NI ,
踏み惑う　　　　　　　　　　　　　　　　ふみまどう　　　　　　　　　　　　　　　,D W.  NM ,
踏み迷う　　　　　　　　　　　　　　　　ふみまよう　　　　　　　　　　　　　　　,D W.  NM ,
踏み破る　　　　　　　　　　　　　　　　ふみやぶる　　　　　　　　　　　　　　　,D R.   I ,
踏み分ける　　　　　　　　　　　　　　　ふみわける　　　　　　　　　　　　　　　,D 1.   I ,
踏む　　　　　　　　　　　　　　　　　　ふむ　　　　　　　　　　　　　　　　　　,D M.   I ,
不問にする　　　　　　　　　　　　　　　ふもんにする　　　　　　　　　　　　　　,D 5.     ,
不問に伏す　　　　　　　　　　　　　　　ふもんにふす　　　　　　　　　　　　　　,D S.     ,
増やかす　　　　　　　　　　　　　　　　ふやかす　　　　　　　　　　　　　　　　,D S.     ,
ふやける　　　　　　　　　　　　　　　　ふやける　　　　　　　　　　　　　　　　,D 1.   M ,
増やす　　　　　　　　　　　　　　　　　ふやす　　　　　　　　　　　　　　　　　,D S.   I ,
殖やす　　　　　　　　　　　　　　　　　ふやす　　　　　　　　　　　　　　　　　,D S.   I ,
浮遊する　　　　　　　　　　　　　　　　ふゆうする　　　　　　　　　　　　　　　,D 4.  N  ,
府有する　　　　　　　　　　　　　　　　ふゆうする　　　　　　　　　　　　　　　,D 4.  N  ,
冬枯れする　　　　　　　　　　　　　　　ふゆがれする　　　　　　　　　　　　　　,D 4.   M ,
冬枯れる　　　　　　　　　　　　　　　　ふゆがれる　　　　　　　　　　　　　　　,D 1.   M ,
冬化粧する　　　　　　　　　　　　　　　ふゆげしょうする　　　　　　　　　　　　,D 4.  PM ,
冬越しする　　　　　　　　　　　　　　　ふゆごしする　　　　　　　　　　　　　　,D 4.   I ,
冬ごもりする　　　　　　　　　　　　　　ふゆごもりする　　　　　　　　　　　　　,D 4.     ,
冬支度する　　　　　　　　　　　　　　　ふゆじたくする　　　　　　　　　　　　　,D 4.     ,
冬めく　　　　　　　　　　　　　　　　　ふゆめく　　　　　　　　　　　　　　　　,D K.   M ,
不溶化する　　　　　　　　　　　　　　　ふようかする　　　　　　　　　　　　　　,D 4.     ,
不養生する　　　　　　　　　　　　　　　ふようじょうする　　　　　　　　　　　　,D 4.  NM ,
浮揚する　　　　　　　　　　　　　　　　ふようする　　　　　　　　　　　　　　　,D 4.   M ,
扶養する　　　　　　　　　　　　　　　　ふようする　　　　　　　　　　　　　　　,D 4.   I ,
付与する　　　　　　　　　　　　　　　　ふよする　　　　　　　　　　　　　　　　,D 4.   I ,
フライトする　　　　　　　　　　　　　　ふらいとする　　　　　　　　　　　　　　,D 4.     ,
プライドを傷つける　　　　　　　　　　　ぷらいどをきずつける　　　　　　　　　　,D 1.  N  ,
プライバシーを犯す　　　　　　　　　　　ぷらいばしーをおかす　　　　　　　　　　,D S.  N  ,
ぶら下がる　　　　　　　　　　　　　　　ぶらさがる　　　　　　　　　　　　　　　,D R.   I ,
ぶら下げる　　　　　　　　　　　　　　　ぶらさげる　　　　　　　　　　　　　　　,D 1.   I ,
ブラシを掛ける　　　　　　　　　　　　　ぶらしをかける　　　　　　　　　　　　　,D 1.     ,
降らす　　　　　　　　　　　　　　　　　ふらす　　　　　　　　　　　　　　　　　,D S.   I ,
プラスする　　　　　　　　　　　　　　　ぷらすする　　　　　　　　　　　　　　　,D 4.   I ,
ふらつく　　　　　　　　　　　　　　　　ふらつく　　　　　　　　　　　　　　　　,D K.  NM ,
ぶらつく　　　　　　　　　　　　　　　　ぶらつく　　　　　　　　　　　　　　　　,D K.   M ,
フラッシュする　　　　　　　　　　　　　ふらっしゅする　　　　　　　　　　　　　,D 4.     ,
フラッシングする　　　　　　　　　　　　ふらっしんぐする　　　　　　　　　　　　,D 4.  P  ,
ブラッシングする　　　　　　　　　　　　ぶらっしんぐする　　　　　　　　　　　　,D 4.   I ,
フラれる　　　　　　　　　　　　　　　　ふられる　　　　　　　　　　　　　　　　,D 1.   M ,
腐乱する　　　　　　　　　　　　　　　　ふらんする　　　　　　　　　　　　　　　,D 4.  NM ,
腐らんする　　　　　　　　　　　　　　　ふらんする　　　　　　　　　　　　　　　,D 4.  N  ,
ふ卵する　　　　　　　　　　　　　　　　ふらんする　　　　　　　　　　　　　　　,D 4.   M ,
プランする　　　　　　　　　　　　　　　ぷらんする　　　　　　　　　　　　　　　,D 4.   I ,
ブランチする　　　　　　　　　　　　　　ぶらんちする　　　　　　　　　　　　　　,D 4.   I ,
フランチャイズする　　　　　　　　　　　ふらんちゃいずする　　　　　　　　　　　,D 4.   I ,
プランニングする　　　　　　　　　　　　ぷらんにんぐする　　　　　　　　　　　　,D 4.   I ,
振り仰ぐ　　　　　　　　　　　　　　　　ふりあおぐ　　　　　　　　　　　　　　　,D G.   I ,
振り上げる　　　　　　　　　　　　　　　ふりあげる　　　　　　　　　　　　　　　,D 1.     ,
振り当てる　　　　　　　　　　　　　　　ふりあてる　　　　　　　　　　　　　　　,D 1.   I ,
